team,squad_value_eur,visible_net_spend_m,liquidity_index,liquidity_band,snapshot_date
Hammers,277495163,147.29,12,Muy baja,2026-08-18
LeTaxet,275429047,168.15,0,Muy baja,2026-08-18
Pau Ragnar 11,238451074,90.95,46,Media,2026-08-18
MANELUNITED FC,228082285,138.25,18,Muy baja,2026-08-18
Rupert F.C,221797294,101.36,40,Media,2026-08-18
JBSNI63 FC,220079841,102.56,39,Baja,2026-08-18
Enric G,217479886,61.81,63,Alta,2026-08-18
Feldespats FC,214452371,75.29,55,Media,2026-08-18
naref25,179436848,33.5,80,Muy alta,2026-08-18
Urilove FC,169112702,17.87,90,Muy alta,2026-08-18
Valak Town,161320927,0.35,100,Muy alta,2026-08-18
