team,squad_value_eur,visible_net_spend_m,liquidity_index,liquidity_band,snapshot_date
Hammers,277495163,156.525394,35,Baja,2026-08-25
LeTaxet,275429047,139.40328900000003,46,Media,2026-08-25
Pau Ragnar 11,238451074,114.531007,61,Alta,2026-08-25
MANELUNITED FC,228082285,124.285538,55,Media,2026-08-25
Rupert F.C,221797294,166.514163,29,Baja,2026-08-25
JBSNI63 FC,220079841,153.146705,37,Baja,2026-08-25
Enric G,217479886,212.332908,0,Muy baja,2026-08-25
Feldespats FC,214452371,154.9277,36,Baja,2026-08-25
naref25,179436848,135.29639400000002,48,Media,2026-08-25
Urilove FC,169112702,52.17394900000001,100,Muy alta,2026-08-25
Valak Town,161320927,120.4239,57,Media,2026-08-25
